"facility_name","lat","lon","location_information_region_province","location_information_district","location_information_chiefdom","location_information_facility_location","facility_type","managing_authority","setting","outpatient_only","capacity_number_consultation_rooms","capacity_number_inpatient_beds","capacity_number_maternity_beds","group_number_employed_list_community_health_officer_cho_number_in_post","group_number_employed_list_community_health_officer_cho_number_present_at_visit","group_number_employed_list_community_health_technician_cht_number_in_post","group_number_employed_list_community_health_technician_cht_number_present_at_visit","group_number_employed_list_community_health_assistant_cha_number_in_post","group_number_employed_list_community_health_assistant_cha_number_present_at_visit","group_number_employed_list_community_midwives_cm_number_in_post","group_number_employed_list_community_midwives_cm_number_present_at_visit","group_number_employed_list_sechn_sechn_number_in_post","group_number_employed_list_sechn_sechn_number_present_at_visit","group_number_employed_list_laboratory_technicians_lab_tech_number_in_post","group_number_employed_list_laboratory_technicians_lab_tech_number_present_at_visit","group_number_employed_list_mch_aides_mch_aides_number_in_post","group_number_employed_list_mch_aides_mch_aides_number_present_at_visit","group_number_employed_list_cleaner_porter_cleaner_porter_number_in_post","group_number_employed_list_cleaner_porter_cleaner_porter_number_present_at_visit","group_number_employed_list_other_other_number_in_post","group_number_employed_list_other_other_number_present_at_visit","ql_human_resources_hr_focal_point","ql_human_resources_hr_staff_received_info","ql_human_resources_hr_healthcare_provider_training","ql_human_resources_hr_healthcare_provider_revised_training","ql_human_resources_hr_daily_staff_list","ql_information_education_communication_iec_handwashing_procedure","ql_information_education_communication_iec_physical_distancing","ql_information_education_communication_iec_covering_nose_mouth","ql_information_education_communication_iec_early_symptom_recognition","ql_information_education_communication_iec_when_facility_vs_home","ql_information_education_communication_iec_rational_ppe_use","ql_information_education_communication_iec_helpline_number","ql_surveillance_surv_procedure_for_notification","ql_surveillance_surv_official_case_definition","ql_surveillance_surv_hotline_number","ql_surveillance_surv_timely_data_reported_to_district","ql_triage_and_early_recognition_ter_screening_area_set_up","ql_triage_and_early_recognition_ter_symptom_screening_questionnaires","ql_triage_and_early_recognition_ter_temperature_measurement_at_triage","ql_triage_and_early_recognition_ter_physical_distancing_in_waiting","ql_triage_and_early_recognition_ter_separate_waiting_for_symptomatic","ql_chw_chw_trained_precautions","ql_chw_chw_trained_community_service","ql_chw_chw_drugs","ql_chw_chw_gloves","ql_chw_chw_masks","ql_chw_chw_iec_materials","ql_isolation_physical_distancing_iso_designated_isolation_for_suspected","ql_isolation_physical_distancing_iso_distance_between_patients_in_waiting","ql_isolation_physical_distancing_iso_distance_between_patient_beds","ql_isolation_physical_distancing_iso_transfer_referral_protocol","ql_ppe_ipc_ppe_medical_masks","ql_ppe_ipc_ppe_disp_surgical_masks","ql_ppe_ipc_ppe_eye_protection","ql_ppe_ipc_ppe_examination_gloves","ql_ppe_ipc_ppe_surgical_gloves","ql_ppe_ipc_ppe_long_cuffed_gloves","ql_ppe_ipc_ppe_heavy_duty_gloves","ql_ppe_ipc_ppe_long_sleeved_gown","ql_ppe_ipc_ppe_waterproof_aprons","ql_ppe_plan_ipc_ppe_plan_staff_trained_on_ppe","ql_ppe_plan_ipc_ppe_plan_ppe_poster_displayed","ql_ppe_plan_ipc_ppe_plan_fit_test_kit","ql_ppe_plan_ipc_ppe_plan_contingency_for_shortages","ql_waste_collection_and_disposal_ipc_wcd_colour_coded_bins","ql_waste_collection_and_disposal_ipc_wcd_clinical_waste_bags","ql_waste_collection_and_disposal_ipc_wcd_laundry_receptacles_at_patient_rooms","ql_waste_collection_and_disposal_ipc_wcd_incinerator","ql_water_sanitation_and_hygiene_ipc_wash_clean_running_water","ql_water_sanitation_and_hygiene_ipc_wash_hand_soap","ql_water_sanitation_and_hygiene_ipc_wash_liquid_soap","ql_water_sanitation_and_hygiene_ipc_wash_disp_hand_towels","ql_water_sanitation_and_hygiene_ipc_wash_alcohol_based_hand_gel","ql_disinfection_and_sterilization_ipc_ds_protocol_facility_disinfection","ql_disinfection_and_sterilization_ipc_ds_protocol_equipment_sterilisation","ql_disinfection_and_sterilization_ipc_ds_environmental_disinfectant","ql_disinfection_and_sterilization_ipc_ds_cleaning_schedule_in_toilets","ql_disinfection_and_sterilization_ipc_ds_protocol_corpse_handling","ql_logistics_patient_and_sample_transfer_log_referral_plan","ql_logistics_patient_and_sample_transfer_log_cellphone_landline_swradio","ql_logistics_patient_and_sample_transfer_log_tracer_drugs","ql_logistics_patient_and_sample_transfer_log_albendazole","ql_logistics_patient_and_sample_transfer_log_amoxicillin","ql_logistics_patient_and_sample_transfer_log_ampicillin","ql_logistics_patient_and_sample_transfer_log_chlorhexidine_5","question10_log_chlorhexidine_7","question10_log_gentamicin","question10_log_folic","question10_log_ferrous_and_folic","question10_log_compound_sodium","question10_log_co_trimoxazole_400","question10_log_co_trimoxazole_200","question6_log_metronidazole_250","question6_log_metronidazole_200","question6_log_methyldopa","question6_log_magnesium_sulphate","question6_log_lidocaine","question6_log_ibuprofen","question2_log_surgical_spirit","question2_log_sodium_chloride","question2_log_povidone","question2_log_paracetamol_500","question2_log_paracetamol_250","question2_log_ors","question7_log_gauze","question7_log_cotton_wool","question7_log_cannula_iv_20","question7_log_cannula_iv_24","question7_log_zinc_sulphate","question7_log_water","question4_log_needle_23","question4_log_needle_21","question4_log_glove_giving","question4_log_glove_surgical","question4_log_glove_gyn","question4_log_glove_exam","question1_log_tape","question1_log_syringe","question1_log_oxytocin","question1_log_diazepam","question1_log_misoprostol","question1_log_glucose","ql_human_resources_score_human_resources","ql_human_resources_score_max_human_resources","ql_information_education_communication_score_information_education_communication","ql_information_education_communication_score_max_information_education_communication","ql_surveillance_score_surveillance","ql_surveillance_score_max_surveillance","ql_chw_score_chw","ql_chw_score_max_chw","ql_isolation_physical_distancing_score_isolation","ql_isolation_physical_distancing_score_max_isolation","ql_ppe_score_infection_prevention_and_control_ppe","ql_ppe_score_max_infection_prevention_and_control_ppe","ql_ppe_plan_score_infection_prevention_and_control_ppe_plan","ql_ppe_plan_score_max_infection_prevention_and_control_ppe_plan","ql_waste_collection_and_disposal_score_infection_prevention_and_control_waste_collection_and_disposal","ql_waste_collection_and_disposal_score_max_infection_prevention_and_control_waste_collection_and_disposal","ql_water_sanitation_and_hygiene_score_infection_prevention_and_control_water_sanitation_and_hygiene","ql_water_sanitation_and_hygiene_score_max_infection_prevention_and_control_water_sanitation_and_hygiene","ql_disinfection_and_sterilization_score_infection_prevention_and_control_disinfection_and_sterilization","ql_disinfection_and_sterilization_score_max_infection_prevention_and_control_disinfection_and_sterilization","score_infection_prevention_and_control","score_max_infection_prevention_and_control","consultations_head_count_month_1","consultations_head_count_month_2","consultations_head_count_month_3","consultations_head_count_month_4","consultations_general_outpatient_month_1","consultations_general_outpatient_month_2","consultations_general_outpatient_month_3","consultations_general_outpatient_month_4","consultations_deliveries_month_1","consultations_deliveries_month_2","consultations_deliveries_month_3","consultations_deliveries_month_4","consultations_pent_vaccines_month_1","consultations_pent_vaccines_month_2","consultations_pent_vaccines_month_3","consultations_pent_vaccines_month_4","consultations_head_count_monthly_average_head_counts","consultations_general_outpatient_monthly_average_general_outpatient","consultations_deliveries_monthly_average_deliveries","consultations_pent_vaccines_monthly_average_pent_vaccines","ql_triage_and_early_recognition_score_triage_and_early_recognition","ql_triage_and_early_recognition_score_max_triage_and_early_recognition","question1_score_logistics_patient_and_sample_transfer","question1_score_max_logistics_patient_and_sample_transfer","score_total","score_max_total"
"William hospital","60.234598"," -90.157892","Southern","Pujehun","New York","Jasonfort","community_health_post","government_public","peri_urban","yes","1","0","1","1","0","0","0","0","0","0","0","0","0","0","0","2","1","1","0","4","0","not_completed","completed","not_completed","not_completed","completed","not_displayed","displayed","displayed","displayed","displayed","displayed","displayed","fully_operational","fully_operational","fully_operational","fully_operational","fully_operational","not_in_place","fully_operational","fully_operational","not_in_place","not_in_place","not_in_place","partial","adequate","not_in_place","not_in_place","not_in_place","fully_operational","fully_operational","not_in_place","not_available","not_available","not_available","risk_of_shortage","risk_of_shortage","risk_of_shortage","not_available","risk_of_shortage","sufficient_supplies","available_fully_achieved","not_available","not_available","not_available","not_available","risk_of_shortage","not_available","sufficient_supplies","sufficient_supplies","sufficient_supplies","sufficient_supplies","not_available","sufficient_supplies","not_available","not_available","sufficient_supplies","not_available","not_available","not_available","not_available","partially_available","not_available","available","not_available","not_available","not_available","partially_available","available","available","not_available","available","available","available","not_available","partially_available","partially_available","not_available","available","not_available","not_available","partially_available","available","not_available","available","partially_available","available","not_available","not_available","not_available","available","available","not_available","available","available","partially_available","available","not_available","available","available","not_available","not_available","not_available","2","5","6","7","4","4","1.5","6","2","4","3","9","1","4","1.5","4","4","5","1","5","10.5","27",221,225,304,217,144,151,158,145,19,20,21,18,12,10,18,20,241,149,19,15,3,5,19,44,48,102
"Kathryn Hospital/CHC","21.2454855"," -107.509120","Southern","Bo","Arizona","West Jamesshire","community_health_post","government_public","rural","yes","1","1","2","0","0","0","0","1","0","0","0","2","2","0","0","2","2","0","0","13","5","not_completed","partially_completed","not_completed","not_completed","completed","not_displayed","displayed","displayed","not_displayed","not_displayed","not_displayed","displayed","partially_operational","not_in_place","fully_operational","fully_operational","not_in_place","not_in_place","not_in_place","partially_operational","not_in_place","not_in_place","not_in_place","partial","not_in_place","partial","not_in_place","not_in_place","not_in_place","not_in_place","partially_operational","risk_of_shortage","risk_of_shortage","risk_of_shortage","risk_of_shortage","not_available","not_available","not_available","not_available","sufficient_supplies","not_available","not_available","not_available","not_available","not_available","sufficient_supplies","not_available","not_available","sufficient_supplies","not_available","risk_of_shortage","not_available","not_available","not_available","not_available","not_available","not_available","not_available","partially_available","not_available","available","not_available","partially_available","partially_available","available","not_available","partially_available","not_available","not_available","partially_available","available","not_available","partially_available","not_available","available","available","available","partially_available","not_available","partially_available","available","not_available","not_available","available","partially_available","available","not_available","not_available","partially_available","available","not_available","available","available","not_available","not_available","available","available","available","available","available","not_available","not_available","1.5","5","3","7","2.5","4","1","6","0.5","4","3","9","0","4","1","4","1.5","5","0","5","5.5","27",270,238,245,269,178,155,171,182,15,15,17,16,18,16,19,16,255,171,15,17,0,5,21,44,35,102
"Jessica Hospital","-0.178657"," -9.190029","Southern","Bo","New Mexico","Robertsside","community_health_post","government_public","rural","yes","2","1","1","1","0","0","0","0","0","1","0","2","0","0","0","2","2","2","1","18","3","not_completed","completed","partially_completed","partially_completed","completed","displayed","not_displayed","displayed","not_displayed","not_displayed","displayed","displayed","partially_operational","not_in_place","fully_operational","fully_operational","not_in_place","not_in_place","not_in_place","partially_operational","not_in_place","not_in_place","not_in_place",NA,"partial","partial","not_in_place","not_in_place","not_in_place","partially_operational","partially_operational","risk_of_shortage","sufficient_supplies","sufficient_supplies","sufficient_supplies","risk_of_shortage","sufficient_supplies","not_available","risk_of_shortage","not_available","available_fully_achieved","not_available","not_available","not_available",NA,"sufficient_supplies","not_available","risk_of_shortage","sufficient_supplies","not_available","sufficient_supplies","not_available","not_available","not_available","not_available","not_available","not_available","not_available","partially_available","not_available","partially_available","available","not_available","available","available","available","available","available","not_available","available","available","available","available","not_available","available","available","available","available","available","available","available","not_available","not_available","available","available","available","available","partially_available","available","available","available","available","available","available","available","available","available","available","available","available","available","not_available","3","5","4","7","2.5","4","1","6","1","4","5.5","9","1","4","1.5","4","2","5","0","5","10","27",748,604,405,576,466,474,338,418,9,13,7,7,18,22,24,15,583,424,9,19,0,5,33,44,55,102
"Lauren CHC","35.856989"," -87.512790","Southern","Bonthe","Missouri","Port Christopher","mch_post","government_public","peri_urban","no","1","2","3","0","0","0","0","0","0","0","0","0","0","0","0","3","3","0","0","0","0","not_completed","partially_completed","partially_completed","not_completed","not_completed","displayed","not_displayed","not_displayed","not_displayed","not_displayed","not_displayed","not_displayed","fully_operational","not_in_place","fully_operational","fully_operational","not_in_place","not_in_place","fully_operational","fully_operational","not_in_place","partial","partial","partial","partial","partial","not_in_place","not_in_place","fully_operational","not_in_place","fully_operational","sufficient_supplies","not_available","sufficient_supplies","sufficient_supplies","not_available","sufficient_supplies","not_available","risk_of_shortage","sufficient_supplies","partially_achieved","not_available","not_available","not_available","not_available","not_available","not_available","not_available","sufficient_supplies","sufficient_supplies","sufficient_supplies","not_available","sufficient_supplies","not_available","sufficient_supplies","sufficient_supplies","not_available","not_available","available","available","available","available","available","not_available","available","available","available","not_available","not_available","available","available","not_available","available","not_available","available","available","available","available","available","available","available","available","not_available","available","available","available","available","available","available","available","available","available","available","available","available","available","partially_available","available","available","not_available","available","not_available","1","5","1","7","3","4","2","6","2","4","5.5","9","0.5","4","0","4","4","5","2","5","12","27",79,93,101,21,144,88,101,121,7,5,11,3,5,5,6,7,73,113,6,5,2,5,34,44,57,102
"Tammy CHC","54.7148835"," 150.744813","Southern","Bonthe","Virginia","Reneeton","community_health_post","government_public","peri_urban","no","3","1","1","0","0","0","0","0","0","0","0","3","2","0","0","1","1","1","1","0","0","not_completed","completed","not_completed","partially_completed","completed","not_displayed","not_displayed","not_displayed","not_displayed","not_displayed","not_displayed","not_displayed","fully_operational","not_in_place","fully_operational","fully_operational","not_in_place","not_in_place","not_in_place","fully_operational","fully_operational","partial","partial","adequate","not_in_place","adequate","partial","fully_operational","fully_operational","not_in_place","fully_operational","risk_of_shortage","risk_of_shortage","risk_of_shortage","risk_of_shortage","risk_of_shortage","not_available","not_available","not_available","risk_of_shortage","partially_achieved","not_available","not_available","not_available","risk_of_shortage","risk_of_shortage","not_available","risk_of_shortage","sufficient_supplies","sufficient_supplies","sufficient_supplies","not_available","sufficient_supplies","sufficient_supplies","sufficient_supplies","sufficient_supplies","risk_of_shortage","not_available","available","available","available","available","available","available","not_available","not_available","available","not_available","not_available","available","not_available","not_available","available","not_available","not_available","not_available","available","available","available","available","available","available","available","available","available","available","partially_available","partially_available","available","available","available","available","available","partially_available","not_available","partially_available","available","available","available","available","partially_available","available","2.5","5","0","7","3","4","3","6","3","4","3","9","0.5","4","1.5","4","4","5","3","5","12","27",928,900,467,177,165,399,408,198,4,5,4,5,3,5,4,1,618,292,4,3,2,5,29,44,55,102
"Bryan Clinic","61.8040035"," 28.191714","Southern","Pujehun","Michigan","Adammouth","community_health_post","government_public","peri_urban","yes","1","0","1","0","0","0","0","1","1","0","0","0","0","0","0","2","0","1","0","2","1","completed","partially_completed","partially_completed","partially_completed","completed","displayed","displayed","displayed","displayed","displayed","displayed","displayed","fully_operational","fully_operational","fully_operational","fully_operational","partially_operational","not_in_place","fully_operational","fully_operational","not_in_place","partial","partial","adequate","adequate","adequate","not_in_place","not_in_place","fully_operational","fully_operational","fully_operational","not_available","sufficient_supplies","sufficient_supplies","sufficient_supplies","not_available","risk_of_shortage","not_available","risk_of_shortage","risk_of_shortage","available_fully_achieved","not_available","not_available","not_available","not_available","not_available","not_available","not_available","not_available","not_available","sufficient_supplies","not_available","not_available","not_available","sufficient_supplies","sufficient_supplies","not_available","not_available","available","not_available","partially_available","available","available","not_available","not_available","not_available","available","not_available","not_available","available","not_available","not_available","available","not_available","available","available","not_available","available","not_available","available","available","available","not_available","available","not_available","partially_available","available","not_available","not_available","not_available","not_available","not_available","available","not_available","available","available","available","available","available","not_available","not_available","not_available","3.5","5","7","7","4","4","3.5","6","3","4","4.5","9","1","4","0","4","1","5","2","5","8.5","27",358,308,452,267,128,144,124,137,15,13,13,17,20,19,20,19,346,133,14,19,2,5,21,44,53,102
"Cheryl Hospital/CHC","86.9708915"," 173.527045","Southern","Bonthe","Nevada","Bryanchester","community_health_centre","government_public","peri_urban","no","1","2","2","1","0","0","0","1","1","0","0","1","1","0","0","2","2","2","0","0","0","completed","partially_completed","partially_completed","not_completed","not_completed","displayed","not_displayed","not_displayed","displayed","not_displayed","not_displayed","not_displayed","fully_operational","not_in_place","fully_operational","fully_operational","fully_operational","not_in_place","fully_operational","fully_operational","fully_operational","partial","partial","partial","partial","partial","not_in_place","not_in_place","fully_operational","fully_operational","fully_operational","not_available","not_available","not_available","not_available","not_available","risk_of_shortage","not_available","not_available","not_available","partially_achieved","not_available","not_available","available_fully_achieved","sufficient_supplies","not_available","not_available","not_available","sufficient_supplies","sufficient_supplies","sufficient_supplies","not_available","not_available","not_available","sufficient_supplies","not_available","not_available","not_available","available","available","available","partially_available","partially_available","partially_available","not_available","not_available","partially_available","partially_available","not_available","partially_available","partially_available","not_available","partially_available","partially_available","partially_available","not_available","partially_available","partially_available","not_available","partially_available","not_available","partially_available","partially_available","not_available","not_available","not_available","partially_available","not_available","partially_available","partially_available","partially_available","partially_available","partially_available","not_available","not_available","not_available","not_available","partially_available","available","partially_available","not_available","partially_available","2","5","2","7","3","4","2","6","3","4","0.5","9","1.5","4","1","4","3","5","1","5","7","27",293,304,345,190,166,178,190,163,7,0,10,18,14,18,22,15,283,174,8,17,4,5,15,44,38,102
"Brandi hospital","77.8973365"," 70.112618","Southern","Moyamba","Florida","Port Kristinville","community_health_centre","government_public","peri_urban","yes","2","2","2","2","2","2","2","1","1","1","1","1","1","0","0","2","1","1","1","1","1","completed","completed","partially_completed","partially_completed","partially_completed","displayed","displayed","displayed","displayed","not_displayed","displayed","displayed","partially_operational","not_in_place","not_in_place","fully_operational","fully_operational","fully_operational","fully_operational","fully_operational","not_in_place","partial","partial","partial","partial","partial","partial","partially_operational","fully_operational","fully_operational","fully_operational","sufficient_supplies","sufficient_supplies","sufficient_supplies","sufficient_supplies","sufficient_supplies","not_available","risk_of_shortage","risk_of_shortage","sufficient_supplies","partially_achieved","not_available","partially_achieved","available_fully_achieved","sufficient_supplies","sufficient_supplies","sufficient_supplies","sufficient_supplies","sufficient_supplies","risk_of_shortage","risk_of_shortage","not_available","risk_of_shortage","sufficient_supplies","sufficient_supplies","sufficient_supplies","sufficient_supplies","sufficient_supplies","available","not_available","not_available","available","available","available","available","not_available","not_available","not_available","not_available","available","available","not_available","available","not_available","available","not_available","available","not_available","available","available","available","available","not_available","available","not_available","available","available","available","available","available","not_available","not_available","available","available","available","available","not_available","not_available","available","available","not_available","not_available","3.5","5","6","7","1.5","4","2.5","6","3.5","4","7","9","2","4","4","4","2.5","5","4","5","19.5","27",431,457,329,345,196,177,146,140,11,11,8,9,21,11,19,16,390,164,9,16,4,5,25,44,65,102
"Michael Regional Hospital","-24.700264"," 79.460077","Northern","Koinadugu","Arkansas","South Adam","mch_post","government_public","peri_urban","yes","1","1","2","0","0","0","0","0","0","0","0","0","0","0","0","2","2","0","0","4","4",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"available","available","partially_available","available","not_available","not_available","not_available","partially_available","not_available","not_available","not_available","available","not_available","not_available","not_available","not_available","available","not_available","available","partially_available","available","partially_available","available","not_available","available","not_available","available","available","not_available","partially_available","available","not_available","not_available","available","not_available","not_available","not_available","available","partially_available","not_available","available","not_available","not_available","0","5","0","7","0","4","0","6","0","4","0","9","0","4","0","4","0","5","0","5","0","27",168,215,181,252,127,87,114,101,5,6,10,5,14,11,10,9,204,107,6,11,0,5,17,44,17,102
"Michael Hospital","21.108351"," -60.068170","Northern","Koinadugu","Georgia","Harrisburgh","community_health_centre","government_public","peri_urban","yes","3","6","2","1","1","0","0","0","0","1","1","1","1","1","1","2","2","2","2","6","6","not_completed","completed","partially_completed","not_completed","completed","displayed","displayed","displayed","displayed","displayed","displayed","displayed","fully_operational","fully_operational","fully_operational","fully_operational","fully_operational","fully_operational","fully_operational","fully_operational","not_in_place","adequate","adequate","adequate","adequate","adequate","adequate","not_in_place","fully_operational","fully_operational","fully_operational","sufficient_supplies","sufficient_supplies","risk_of_shortage","sufficient_supplies","sufficient_supplies","not_available","not_available","sufficient_supplies","sufficient_supplies","available_fully_achieved","available_fully_achieved","not_available","available_fully_achieved","sufficient_supplies","sufficient_supplies","risk_of_shortage","sufficient_supplies","sufficient_supplies","sufficient_supplies","sufficient_supplies","not_available","sufficient_supplies","sufficient_supplies","sufficient_supplies","risk_of_shortage","sufficient_supplies","sufficient_supplies","available","not_available","available","available","available","available","partially_available","not_available","available","available","not_available","not_available","available","not_available","not_available","not_available","available","available","available","available","available","available","available","available","not_available","available","available","available","available","available","available","not_available","available","available","available","available","available","available","available","available","available","available","not_available","not_available","2.5","5","7","7","4","4","5","6","3","4","6.5","9","3","4","3.5","4","4","5","3.5","5","20.5","27",1,2,3,4,1,2,3,4,1,2,5,5,1,2,2,3,2,2,3,2,4,5,30,44,76,102
